"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"292742","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Little Wolf Creek(River Miles: 7.4 to 7.8)","48.30576","-114.92018","Map derived","Accurate","Fisher","17010102","1996","8","20","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292709","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Barnum Creek(River Miles: 2.6 to 2.7)","48.11833","-115.08601","Map derived","Accurate","Fisher","17010102","2002","8","30","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292718","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Bear Creek(River Miles: 3.7 to 3.8)","48.18001","-115.57209","Map derived","Accurate","Middle Kootenai","17010101","2007","7","20","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292735","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Calx Creek(River Miles: 1.5 to 1.6)","48.25292","-115.10997","Map derived","Accurate","Fisher","17010102","1993","9","1","stocked","9/1/1993-9/2/1993","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292737","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Dry Fork Creek(River Miles: 2.4 to 2.5)","48.3768","-115.05385","Map derived","Accurate","Fisher","17010102","1993","9","1","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292732","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Calx Creek(River Miles: 0.4 to 0.5)","48.2672","-115.11714","Map derived","Accurate","Fisher","17010102","2004","7","14","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292740","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Little Cherry Creek(River Miles: 1.2 to 1.3)","48.17442","-115.54593","Map derived","Accurate","Middle Kootenai","17010101","2003","7","9","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292739","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Dry Fork Creek(River Miles: 6.3 to 6.4)","48.42653","-115.08581","Map derived","Accurate","Fisher","17010102","2011","7","12","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292734","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Calx Creek(River Miles: 1.4 to 1.5)","48.25425","-115.10964","Map derived","Accurate","Fisher","17010102","2003","7","16","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292711","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Bear Creek(River Miles: 0 to 0.1)","48.18415","-115.50803","Map derived","Accurate","Middle Kootenai","17010101","1995","8","15","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
